########################### MODEL 100 states #################################
-------------- Train Model with 100 states------------------
BW-Algo: 41.iteration taking 86.21800017356873 LogLiklihood: -26310.73491068458
BW-Algo: 42.iteration taking 84.5569999217987 LogLiklihood: -26297.188817879516
BW-Algo: 43.iteration taking 86.1819999217987 LogLiklihood: -26285.92497414184
BW-Algo: 44.iteration taking 84.70300006866455 LogLiklihood: -26275.373925409785
BW-Algo: 45.iteration taking 82.82299995422363 LogLiklihood: -26264.715699306584
BW-Algo: 46.iteration taking 87.71500015258789 LogLiklihood: -26254.023970177008
BW-Algo: 47.iteration taking 83.90299987792969 LogLiklihood: -26243.83505961074
BW-Algo: 48.iteration taking 85.75 LogLiklihood: -26232.801443869943
BW-Algo: 49.iteration taking 84.30200004577637 LogLiklihood: -26217.291073990644
BW-Algo: 50.iteration taking 86.37999987602234 LogLiklihood: -26206.136597771103
BW-Algo: 51.iteration taking 84.13900017738342 LogLiklihood: -26195.583940583383
BW-Algo: 52.iteration taking 85.0239999294281 LogLiklihood: -26185.413266814376
BW-Algo: 53.iteration taking 85.7170000076294 LogLiklihood: -26175.052921030103
BW-Algo: 54.iteration taking 84.57299995422363 LogLiklihood: -26163.53866695925
BW-Algo: 55.iteration taking 86.3970000743866 LogLiklihood: -26152.19284455162
BW-Algo: 56.iteration taking 85.15700006484985 LogLiklihood: -26141.263973014517
BW-Algo: 57.iteration taking 85.77499985694885 LogLiklihood: -26131.099235233083
BW-Algo: 58.iteration taking 84.11100006103516 LogLiklihood: -26121.536503127674
BW-Algo: 59.iteration taking 85.60199999809265 LogLiklihood: -26111.725765565927
BW-Algo: 60.iteration taking 84.3989999294281 LogLiklihood: -26103.904762219543
BW-Algo: 61.iteration taking 85.40100002288818 LogLiklihood: -26097.004827310797
BW-Algo: 62.iteration taking 86.27699995040894 LogLiklihood: -26091.136687980197
BW-Algo: 63.iteration taking 84.82400012016296 LogLiklihood: -26086.016759257276
BW-Algo: 64.iteration taking 81.27600002288818 LogLiklihood: -26080.00755168255
BW-Algo: 65.iteration taking 85.60699987411499 LogLiklihood: -26072.65034783362
BW-Algo: 66.iteration taking 85.00600004196167 LogLiklihood: -26066.981357232486
BW-Algo: 67.iteration taking 86.52900004386902 LogLiklihood: -26062.13858275777
BW-Algo: 68.iteration taking 84.15299987792969 LogLiklihood: -26057.66729845427
BW-Algo: 69.iteration taking 86.11900019645691 LogLiklihood: -26053.599009845242
BW-Algo: 70.iteration taking 83.79999995231628 LogLiklihood: -26049.75829513061
BW-Algo: 71.iteration taking 87.20300006866455 LogLiklihood: -26046.42598133581
BW-Algo: 72.iteration taking 84.43399977684021 LogLiklihood: -26043.528234447218
BW-Algo: 73.iteration taking 82.88900017738342 LogLiklihood: -26040.81947099216
BW-Algo: 74.iteration taking 85.77499985694885 LogLiklihood: -26037.7909945108
BW-Algo: 75.iteration taking 84.05100011825562 LogLiklihood: -26033.608112453192
BW-Algo: 76.iteration taking 88.12199997901917 LogLiklihood: -26029.646009897006
BW-Algo: 77.iteration taking 84.45799994468689 LogLiklihood: -26025.936555941887
BW-Algo: 78.iteration taking 85.1029999256134 LogLiklihood: -26020.669080802283
BW-Algo: 79.iteration taking 87.7039999961853 LogLiklihood: -26015.60029831785
BW-Algo: 80.iteration taking 84.3140001296997 LogLiklihood: -26012.878168352974
BW-Algo: 81.iteration taking 87.50600004196167 LogLiklihood: -26011.10107376294
BW-Algo: 82.iteration taking 85.82399988174438 LogLiklihood: -26009.562140911166
BW-Algo: 83.iteration taking 87.7350001335144 LogLiklihood: -26007.48992986735
BW-Algo: 84.iteration taking 84.60599994659424 LogLiklihood: -26005.11677931557
BW-Algo: 85.iteration taking 85.32399988174438 LogLiklihood: -26003.33489096046
BW-Algo: 86.iteration taking 82.56500005722046 LogLiklihood: -26001.44131409742
BW-Algo: 87.iteration taking 86.9760000705719 LogLiklihood: -25999.627525915555
BW-Algo: 88.iteration taking 84.82500004768372 LogLiklihood: -25998.122000850613
BW-Algo: 89.iteration taking 86.00099992752075 LogLiklihood: -25996.925498101595
